,user,text,created_at,compound,positive,neutral,negative
29,CBS,Congratulations are in order for @TheKatrinaLenk! She just won for Best Leading Actress in a Musical. #TonyAwards https://t.co/t9bNvpiEmH,2018-06-11 03:02:06+00:00,0.92,0.463,0.537,0.0
30,CBS,An end to a magical evening. The Band's Visit wins for Best Musical! #TonyAwards https://t.co/ODza97n8YH,2018-06-11 03:10:33+00:00,0.8478,0.406,0.594,0.0
31,CBS,See the complete list of winners from the 2018 #TonyAwards: https://t.co/9XK6CGeber https://t.co/HkUIN4Quej,2018-06-11 06:04:41+00:00,0.4767,0.22,0.78,0.0
32,CBS,Here are all the performances from the 2018 #TonyAwards: https://t.co/gN4ItpFlRd https://t.co/fSMNBXKC9r,2018-06-11 06:19:36+00:00,0.0,0.0,1.0,0.0
33,CBS,How do you know @SaraBareilles and @joshgroban's music? #TonyAwards https://t.co/POMXBORfUT,2018-06-11 14:00:37+00:00,0.0,0.0,1.0,0.0
34,CBS,"In case you missed it, watch the entire #TonyAwards now: https://t.co/Bm0yNV3Ff3 https://t.co/3GA5otlcPa",2018-06-11 19:01:38+00:00,-0.296,0.0,0.833,0.167
35,CBS,"RT @TheNeighborhood: Welcome to #TheNeighborhood, @BethBehrs! The @2BrokeGirls star returns to @CBS in a new sitcom alongside @CedEntertain…",2018-06-11 22:23:06+00:00,0.5093,0.171,0.829,0.0
36,CBS,"No pain, no gain, ALL Hart! Just one month until the premiere of @TKOCBS hosted by @KevinHart4real. https://t.co/C1yMCglxVn",2018-06-12 00:19:23+00:00,-0.5562,0.134,0.551,0.315
37,CBS,RT @StrangeAngel: Mastermind or maniac? Explore the brilliant mind of Jack Parsons in #StrangeAngel. Now streaming on CBS All Access: https…,2018-06-14 16:19:32+00:00,0.1779,0.147,0.734,0.12
38,CBS,"In case you missed it, watch the entire #TonyAwards now: https://t.co/Bm0yNV3Ff3 https://t.co/h3YnFkmSQJ",2018-06-14 17:30:00+00:00,-0.296,0.0,0.833,0.167
39,CBS,"Casting Alert! @paulwesley, @DaniaJRamirez &amp; @JamesWolk are set to star in the upcoming CBS All Access psychologica… https://t.co/JnZMrzT92n",2018-06-15 18:48:29+00:00,0.3595,0.128,0.872,0.0
40,CBS,"Today and every day we celebrate their love, guidance, and support. Happy #FathersDay to every kind of dad! https://t.co/Wffax1khBH",2018-06-17 13:00:01+00:00,0.9392,0.493,0.507,0.0
41,CBS,RT @CBSBigBrother: Meet the cast of #BB20... before anyone else! Start streaming all their live interviews beginning at 11am EST/8am PST on…,2018-06-18 15:00:46+00:00,0.0,0.0,1.0,0.0
42,CBS,Time to make your predictions for #BB20! 👏 Get to know the @CBSBigBrother Houseguests before the big premiere next… https://t.co/jlpIchJ9sk,2018-06-18 20:27:50+00:00,0.0,0.0,1.0,0.0
43,CBS,There’s nothing quite like watching a contestant win a brand new car on @PriceIsRight. 👏  https://t.co/aKlFikYAMM,2018-06-20 00:39:01+00:00,0.3555,0.222,0.642,0.136
44,CBS,"Lights, camera, selfie! 📸 Could there be a better photo for #NationalSelfieDay? https://t.co/14Ewx64yKC",2018-06-21 23:29:50+00:00,0.4926,0.242,0.758,0.0
45,CBS,"Every day is #TakeYourDogToWorkDay for shows like @HawaiiFive0CBS, @MomCBS, @SEALTeamCBS, and @bigbangtheory! https://t.co/DJaOt1VQcw",2018-06-22 18:33:53+00:00,0.4199,0.189,0.811,0.0
46,CBS,Tonight's the night! Don't miss model @ashleygraham on the season finale of Celebrity @undercover_cbs at 8/7c. https://t.co/iBxAOcOF7a,2018-06-22 21:19:06+00:00,0.1867,0.098,0.902,0.0
47,CBS,The world will finally know the truth. ☄️ Make sure to tune in to the heart-pounding Season 2 premiere of… https://t.co/mqMleW90DY,2018-06-25 18:20:25+00:00,0.5574,0.204,0.796,0.0
48,CBS,"It looks like you...

(•_•)
( •_•)&gt;⌐■-■
(⌐■_■)

Have a lot of TV to watch!

Celebrate #NationalSunglassesDay with H… https://t.co/Babt4ajIgV",2018-06-27 14:00:01+00:00,0.7574,0.289,0.711,0.0
49,CBS,What’s summer without @CBSBigBrother? ☀️ RT if you’re counting down the hours to the #BB20 premiere TONIGHT at 8/7c… https://t.co/Xp1s4Fp5J8,2018-06-27 20:31:32+00:00,0.0,0.0,1.0,0.0
50,CBS,"If at first you don’t succeed on @PriceIsRight…bid, bid again! https://t.co/OWBaOsFZ3i",2018-07-02 17:00:02+00:00,0.5411,0.259,0.741,0.0
51,CBS,RT @TrueCrimeCBS: Two new true-crime series are set to premiere this July on CBS! Learn more about #Whistleblower and #PinkCollarCrimes bef…,2018-07-02 17:27:06+00:00,0.0,0.0,1.0,0.0
52,CBS,Take a first look at our @Comic_Con lineup along with details of what you can expect to see:… https://t.co/JqBtlKcwq3,2018-07-02 20:47:32+00:00,0.0,0.0,1.0,0.0
53,CBS,"How much does it cost to bury the truth? #OneDollar premieres Thursday, August 30, exclusively on CBS All Access.… https://t.co/1tab8eCaFz",2018-07-02 21:13:11+00:00,0.3182,0.108,0.892,0.0
54,CBS,Have you heard? Tonight's the first Live Show of #BB20. Grab a seat and get ready to watch the action unfold on CBS… https://t.co/0YgRV1HLGd,2018-07-05 21:12:17+00:00,0.3612,0.102,0.898,0.0
55,CBS,Happy #InternationalKissingDay! See which stars we caught locking lips on the CBS Kiss Cam. 😘 https://t.co/oMPCHZlgCl,2018-07-06 18:26:37+00:00,0.7777,0.343,0.657,0.0
56,CBS,"RT @SalvationCBS: Mark your calendars, #Salvies: Monday's new #SalvationCBS will air at a special time, 10/9c. https://t.co/RUh1J7cfj8",2018-07-06 22:22:55+00:00,0.4019,0.153,0.847,0.0
57,CBS,"RT @cbsallaccess: How much does it cost to bury the truth? #OneDollar premieres August 30, exclusively on CBS All Access. https://t.co/2HdY…",2018-07-09 18:09:00+00:00,0.3182,0.103,0.897,0.0
58,CBS,"RT @TKOCBS: The Ball Buster, the Frisboom, the Spike Launcher, and the Slammer… Get to know all of the #TKO Battle Stations: https://t.co/2…",2018-07-09 18:53:34+00:00,-0.3818,0.0,0.894,0.106
59,CBS,Time to mark your calendars! CBS' fall 2018 premiere lineup has been announced: https://t.co/yYv3H9aEO7 https://t.co/lRxAA7suie,2018-07-09 23:55:07+00:00,0.0,0.0,1.0,0.0
60,CBS,"RT @MagnumPICBS: Talk about hands-on research! #MagnumPI's cast had the honor of joining the US Navy Submarine Force, US Pacific Fleet #Sub…",2018-07-11 19:09:34+00:00,0.5411,0.143,0.857,0.0
61,CBS,"It’s fun, different, unique, and finally here! @TKOCBS hosted by @KevinHart4real premieres at 9/8c on CBS and… https://t.co/MCeVLVK85i",2018-07-11 21:44:45+00:00,0.5562,0.174,0.826,0.0
62,CBS,RT @TKOCBS: Prepare to have some major FUN. #TKO starts NOW! https://t.co/i2ftL6GCj5,2018-07-12 01:01:24+00:00,0.6514,0.282,0.718,0.0
63,CBS,Take a walk down @YandR_CBS memory lane with stars @JessWaltonYR and Peter Bergman! You can watch full episodes of… https://t.co/MZEUfiJJyb,2018-07-13 17:49:38+00:00,0.0,0.0,1.0,0.0
64,CBS,"RT @TheNeighborhood: There's a new family on the block, and they're about to turn this neighborhood upside down. @CedEntertainer and @Tichi…",2018-07-13 21:15:41+00:00,-0.4404,0.0,0.868,0.132
65,CBS,"Stand up. Speak up. Blow the whistle. 

Don't miss the premiere of the @TrueCrimeCBS series #Whistleblower tonight… https://t.co/uNhx4Codc2",2018-07-13 21:35:01+00:00,0.1139,0.078,0.922,0.0
66,CBS,Celebrate #WorldEmojiDay with a fun game! Use the emoji sequences below to guess the CBS show. 👇 Tweet your respons… https://t.co/LCqvuVtkXK,2018-07-17 17:22:26+00:00,0.807,0.3,0.7,0.0
67,CBS,💥🌎🔬 #WorldEmojiDay,2018-07-17 17:22:26+00:00,0.0,0.0,1.0,0.0
68,CBS,👶💥🌎🔬 #WorldEmojiDay,2018-07-17 17:22:27+00:00,0.0,0.0,1.0,0.0
69,CBS,🏠📹📹📹 #WorldEmojiDay,2018-07-17 17:22:27+00:00,0.0,0.0,1.0,0.0
70,CBS,🐮⚖️ #WorldEmojiDay,2018-07-17 17:22:27+00:00,0.0,0.0,1.0,0.0
71,CBS,🏝🔥💵 #WorldEmojiDay,2018-07-17 17:22:27+00:00,0.0,0.0,1.0,0.0
72,CBS,💄👠📷 #WorldEmojiDay,2018-07-17 17:22:27+00:00,0.0,0.0,1.0,0.0
73,CBS,🤝💼💰 #WorldEmojiDay,2018-07-17 17:22:28+00:00,0.0,0.0,1.0,0.0
74,CBS,👶😴🚫 #WorldEmojiDay,2018-07-17 17:22:28+00:00,0.0,0.0,1.0,0.0
75,CBS,💙👮🍽 #WorldEmojiDay,2018-07-17 17:22:28+00:00,0.0,0.0,1.0,0.0
76,CBS,🌎☄️ #WorldEmojiDay,2018-07-17 17:22:28+00:00,0.0,0.0,1.0,0.0
77,CBS,💣📎 #WorldEmojiDay,2018-07-17 17:22:28+00:00,0.0,0.0,1.0,0.0
78,CBS,🏷💰🎰 #WorldEmojiDay,2018-07-17 17:22:28+00:00,0.0,0.0,1.0,0.0
79,CBS,👩‍💼💼🇺🇸 #WorldEmojiDay,2018-07-17 17:22:29+00:00,0.0,0.0,1.0,0.0
80,CBS,⚓️🦅🇺🇸 #WorldEmojiDay,2018-07-17 17:22:29+00:00,0.0,0.0,1.0,0.0
81,CBS,🕵️🕵️‍♀️ #WorldEmojiDay,2018-07-17 17:22:29+00:00,0.0,0.0,1.0,0.0
82,CBS,🏄🌴🚔 #WorldEmojiDay,2018-07-17 17:22:29+00:00,0.0,0.0,1.0,0.0
83,CBS,👨📝✔️ #WorldEmojiDay,2018-07-17 17:22:29+00:00,0.0,0.0,1.0,0.0
84,CBS,🤰👩‍👧🚫🍸 #WorldEmojiDay,2018-07-17 17:55:25+00:00,0.0,0.0,1.0,0.0
85,CBS,"This @cbsallaccess series is unlike any fairy tale you've ever seen before. @paulwesley, @kevwilliamson &amp;… https://t.co/icsSnPxKAr",2018-07-20 15:08:23+00:00,0.0,0.0,1.0,0.0
86,CBS,Take a trip down memory lane with the cast and crew of @MagnumPICBS at #SDCC2018! https://t.co/jHVxm7kyaT,2018-07-20 21:39:09+00:00,0.0,0.0,1.0,0.0
87,CBS,"RT @startrekcbs: Discover the next adventure of Starfleet in this first look at the season 2 premiere, coming early 2019. Season 1 is now s…",2018-07-20 22:29:36+00:00,0.3182,0.095,0.905,0.0
88,CBS,George blew the whistle on a doctor targeting those who believed they had cancer. What was the outcome? Find out to… https://t.co/rLlNzlK3Cy,2018-07-20 23:44:54+00:00,-0.6597,0.0,0.82,0.18
89,CBS,"RT @TrueCrimeCBS: When you find out you’ve been treated with chemo, but you don’t have cancer. #Whistleblower https://t.co/DAKwu1vcNX",2018-07-21 00:10:00+00:00,-0.7964,0.0,0.736,0.264
90,CBS,RT @bigbangtheory: The #BigBangTheory writers teased a honeymoon episode and more @YoungSheldon characters in Season 12 while speaking at #…,2018-07-21 00:19:12+00:00,-0.296,0.0,0.891,0.109
91,CBS,RT @MagnumPICBS: Couldn't make it to San Diego for the #MagnumPI panel? Here's everything you missed at #SDCC2018: https://t.co/Z7IBqF1YJ8…,2018-07-21 00:55:28+00:00,-0.296,0.0,0.891,0.109
92,CBS,RT @startrekcbs: Stream the full panel &amp; learn all the exclusive details revealed about season 2 of #StarTrekDiscovery at @Comic_Con: https…,2018-07-22 01:56:13+00:00,0.128,0.073,0.927,0.0
93,CBS,The cast couldn’t be more excited to welcome @ansonmount into the @startrekcbs family! Who’s ready to see the iconi… https://t.co/fOS4f4VCb2,2018-07-23 21:30:33+00:00,0.8293,0.34,0.66,0.0
94,CBS,"Mark your calendars because you won’t want to miss this! Former Secretaries of State @HillaryClinton, @Madeleine, a… https://t.co/JKDPp97OqN",2018-07-24 18:54:14+00:00,-0.1511,0.068,0.834,0.099
95,CBS,Who's excited for the return of @MurphyBrownCBS? Here's a behind-the-scenes look at the first table read of the sea… https://t.co/1B5S4WJnCW,2018-07-25 01:05:03+00:00,0.34,0.118,0.882,0.0
96,CBS,"Renowned artists Cher, Philip Glass, Reba McEntire, Wayne Shorter, and the co-creators of #Hamilton will be recogni… https://t.co/PEjjI9MKE1",2018-07-25 15:12:31+00:00,0.0,0.0,1.0,0.0
97,CBS,"This is one allowance that can’t be beat! Kids are winning big this week on @PriceIsRight. 🎉
 https://t.co/lncKu9XvNo",2018-07-25 17:25:36+00:00,0.5707,0.187,0.813,0.0
98,BBC,"""I would like to do it all over again. There was a war on but otherwise it was absolutely wonderful."" ❤️️

Remember… https://t.co/1cSKgxW5gF",2018-07-26 13:01:05+00:00,-0.1779,0.072,0.826,0.101
99,BBC,RT @bbcweather: It is officially the hottest day of the year so far in the UK with temperatures soaring to 35C in west London. https://t.co…,2018-07-26 15:40:44+00:00,0.0,0.0,1.0,0.0
100,BBC,"😀♥️ Four-year-old Daniel and 91-year-old Stuart, who has dementia, have struck up an unlikely friendship.  https://t.co/DVpVhIssTc",2018-07-26 16:02:03+00:00,0.2263,0.153,0.741,0.106
101,BBC,"RT @bbcpress: Late for the first game of @BBCMOTD, missed the first dance on #Strictly or tuned in halfway through #EastEnders? Pushing the…",2018-07-26 16:11:16+00:00,-0.296,0.0,0.909,0.091
102,BBC,A dog called Minnie has been reunited with her owners two years after thieves stole a truck she was sleeping in. 🐶… https://t.co/CzeVkauFSx,2018-07-26 17:01:06+00:00,-0.5106,0.0,0.858,0.142
103,BBC,"Tonight, a team of inventors attempt to change the lives of three inspiring people with very different problems. 💡… https://t.co/L7yN0qkCNz",2018-07-26 18:02:07+00:00,-0.046,0.123,0.746,0.131
104,BBC,"After being abused on dating apps for having HIV, Joe has turned to art to help combat the stigma. 
(via @BBCThree) https://t.co/b6mar28jBl",2018-07-26 19:02:05+00:00,-0.4588,0.099,0.693,0.208
105,BBC,💔 @BoyGeorge discovers that in 1919 his grandmother was found wandering the streets alone as a 6 year old child.… https://t.co/CmyXz2oGYr,2018-07-27 07:01:03+00:00,-0.25,0.0,0.895,0.105
106,BBC,❤️📝 A teenager who attached uplifting messages to a bridge to help people facing a mental health crisis has helped… https://t.co/gGO3mXQkkd,2018-07-27 07:26:02+00:00,-0.34,0.118,0.702,0.18
107,BBC,😂 A Scottish three year old's take on the summer holidays. https://t.co/SaCbnnlnUm,2018-07-27 08:00:16+00:00,0.3818,0.224,0.776,0.0
108,BBC,RT @bbccomedy: British or American Stand-up? 🤔🇬🇧🇺🇸 https://t.co/HBxD8YmCSZ,2018-07-27 09:38:09+00:00,0.0,0.0,1.0,0.0
109,BBC,"👀🌝 Skywatchers will be treated to the longest ""blood moon"" eclipse of the century tonight, with the totality period… https://t.co/w1Eoi6fA9R",2018-07-27 09:51:01+00:00,0.0,0.0,1.0,0.0
110,BBC,"🔬 From 'the God particle' to our ability to observe gravitational waves, here are 7 extraordinary things science ha… https://t.co/j4tgSCx3vl",2018-07-27 11:02:04+00:00,0.5267,0.216,0.784,0.0
111,BBC,⛷🐶 This is one way to keep dogs cool in the heat! https://t.co/ObXmR8febC,2018-07-27 12:00:18+00:00,0.3802,0.178,0.822,0.0
112,BBC,RT @BBCClick: The @BBCProms projection show at the Royal Albert Hall had lights so strong that planes were told not to fly over it! https:/…,2018-07-27 12:14:56+00:00,0.674,0.159,0.841,0.0
113,BBC,😳 This man wants people to stop pretending to have sex with his hedge. https://t.co/VbuY1xtbQ1,2018-07-27 12:24:44+00:00,-0.2023,0.09,0.769,0.141
114,BBC,"RT @BBCEarth: Just a seal getting a good tummy-rub from a diver, no biggie 😍

#OurBluePlanet with @Sealdiver https://t.co/L8yAINvPdJ",2018-07-27 12:50:53+00:00,0.1779,0.16,0.718,0.122
115,BBC,"👃💐 How teenage perfumes smell to you - an actual adult.
👉 https://t.co/PCRmoujpVJ https://t.co/P0tmdqfbUC",2018-07-27 13:01:03+00:00,0.0,0.0,1.0,0.0
116,BBC,"👀 Who's excited to see the #BloodMoon tonight? 
#LunarEclipse https://t.co/jhx3zLDOTS",2018-07-27 15:16:01+00:00,0.34,0.231,0.769,0.0
117,BBC,When your boss is looking for you but it's after 5pm... 👋 #FridayFeeling https://t.co/J3NZSVi7jj,2018-07-27 15:59:00+00:00,0.0,0.0,1.0,0.0
118,BBC,🎅🎄😂 Too soon? https://t.co/L368bWE3t5,2018-07-27 17:02:03+00:00,0.0,0.0,1.0,0.0
119,BBC,RT @bbcpress: Stellar cast and creative team unveiled for @BBCOne adaptation of @PhilipPullman's #HisDarkMaterials: https://t.co/4Bm3OIaXCH…,2018-07-27 17:47:28+00:00,0.4404,0.172,0.828,0.0
120,BBC,A pair of beavers are being released into the Forest of Dean with the hope they'll help prevent flooding in the are… https://t.co/wD23PTQUPg,2018-07-27 18:01:08+00:00,0.6908,0.261,0.739,0.0
121,BBC,🐶 Hearing dogs can save a life. https://t.co/bTcvuvGYJt,2018-07-28 07:05:02+00:00,0.4939,0.39,0.61,0.0
122,BBC,🛌 Namastay in bed! https://t.co/s2J2Uf4U99,2018-07-28 08:02:06+00:00,0.0,0.0,1.0,0.0
123,BBC,"📚🌍 With classic and contemporary choices perfectly matched to destinations all over the world, here's your ultimate… https://t.co/fsadf3W3rU",2018-07-28 09:03:03+00:00,0.6369,0.198,0.802,0.0
124,BBC,Need to clean your headphone socket? Check out this #TechHack. https://t.co/RDtpHt03ZX,2018-07-28 10:05:04+00:00,0.4019,0.213,0.787,0.0
125,BBC,"RT @BBCWorld: Simply stunning!

The longest #BloodMoon eclipse of the 21st Century as seen around the world

https://t.co/aHwGkVc3OP https:…",2018-07-28 10:46:22+00:00,0.4389,0.138,0.862,0.0
126,BBC,"🧠 'Damaging your brain might not kill you, but can change your behaviour.'

Five fascinating facts about the human… https://t.co/XLoaV7C1uM",2018-07-28 11:03:04+00:00,0.7157,0.282,0.633,0.085
127,BBC,RT @BBCScienceNews: Climate change made heatwave 'twice as likely' https://t.co/FQqzyhbiK4,2018-07-28 12:02:08+00:00,0.0,0.0,1.0,0.0
128,BBC,"RT @bbcgetinspired: ""You can rise again, it's not as though one thing happens to you and that's the end of your story."" 

After being hit b…",2018-07-28 12:02:40+00:00,0.0,0.0,1.0,0.0
129,BBC,📖🥪 A brief history of the humble sarnie. https://t.co/25GXnqIXZy,2018-07-28 13:02:06+00:00,0.0,0.0,1.0,0.0
130,BBC,🐾❤️ Heaven really is a place on Earth... https://t.co/hCE7MqzF2P,2018-07-28 14:06:01+00:00,0.5106,0.32,0.68,0.0
131,BBC,"Branded and beaten: The children accused of witchcraft and murder.
👉 https://t.co/0Lzx9wdLa1 https://t.co/Syvy5ca7QG",2018-07-28 15:04:06+00:00,-0.8658,0.0,0.481,0.519
132,BBC,"RT @BBCSport: Geraint Thomas just needs to roll over the line in Paris tomorrow to win the 2018 Tour de France.

He'll become the first Wel…",2018-07-28 15:30:28+00:00,0.5859,0.132,0.868,0.0
133,BBC,"RT @bbcideas: Gin and tonic, the perfect pair. So, how did they come together? 🤔

More Edible Histories 🎥: https://t.co/8nH3A1rqFP https://…",2018-07-28 15:31:04+00:00,0.5719,0.163,0.837,0.0
134,BBC,"Are you sure you don’t gender-stereotype children?
#NoMoreBoysAndGirls https://t.co/iThZ2P6REW",2018-07-28 16:03:06+00:00,0.3182,0.223,0.777,0.0
135,CBS,"Housewives. PTA moms. School volunteers. Starting TONIGHT, hear the stories of seemingly innocent women who put it… https://t.co/5TA15OiTuh",2018-07-28 16:43:56+00:00,0.34,0.124,0.876,0.0
136,BBC,"'Doesn't matter what's written on the packet, wet wipes do not disintegrate.'
#TheFiveBillionPoundSuperSewer https://t.co/Ja9nBFnr6b",2018-07-28 17:03:00+00:00,-0.0191,0.0,0.924,0.076
137,BBC,😂 Genius https://t.co/nqWGYEEBy4,2018-07-28 18:07:05+00:00,0.0,0.0,1.0,0.0
138,BBC,RT @BBCTwo: Ever wondered how toilets are made? We're going #InsideTheFactory... 🚽😄 https://t.co/lgFuM6ER2p,2018-07-28 18:12:24+00:00,0.0,0.0,1.0,0.0
139,BBC,The shocking story of a young man who shot his parents. https://t.co/6O1qzsiKAk,2018-07-28 20:02:03+00:00,-0.4019,0.0,0.787,0.213
140,BBC,"RT @BBCOne: These seadragons are dancing together in a courtship ritual - and it's absolutely beautiful.

The complete series of Life is av…",2018-07-28 20:29:40+00:00,0.6361,0.173,0.827,0.0
141,BBC,"Stand-up comedy from Stewart Lee, recorded live from the Palace Theatre, Southend-on-Sea. 

Stewart Lee Content Pro… https://t.co/VCNnbkhi7J",2018-07-28 20:45:06+00:00,0.3612,0.135,0.865,0.0
142,BBC,"Two tiger brothers enjoy their first swimming lesson. 🐯💦 #InternationalTigerDay

https://t.co/QNRnmqTcK5",2018-07-29 07:01:03+00:00,0.4939,0.242,0.758,0.0
143,BBC,"😥 An endangered red squirrel has died after becoming trapped inside a discarded plastic jar.
👉… https://t.co/19IZCDeWBZ",2018-07-29 08:01:07+00:00,-0.8555,0.0,0.561,0.439
144,BBC,"😂 With 37 Facebook likes and the world's most convoluted chant, the CNCSC is a force to be reckoned with.… https://t.co/7wQhKjH26j",2018-07-29 09:03:08+00:00,0.4215,0.135,0.865,0.0
145,BBC,"Researchers have found evidence of an existing body of liquid water on Mars.
👉 https://t.co/cmykUjdfxy https://t.co/d4FhfFj5Sr",2018-07-29 10:12:02+00:00,0.0,0.0,1.0,0.0
146,BBC,"What is #ThinPrivilege and who has it?
👉 https://t.co/Ocbj6tAabk https://t.co/HMapWPvJt1",2018-07-29 11:01:05+00:00,0.0,0.0,1.0,0.0
147,BBC,"RT @BBCFood: Get the whole family making jaffa cakes this weekend 👇
https://t.co/8R0azXouDH https://t.co/xEC8aeQGs0",2018-07-29 11:21:30+00:00,0.0,0.0,1.0,0.0
148,BBC,This teenager was banned from performing in drag at his school's end-of-year talent show. https://t.co/Hi6uXtSAFz,2018-07-29 13:01:07+00:00,-0.2732,0.142,0.609,0.249
149,BBC,"RT @bbcgetinspired: Sam Maycock is fulfilling his dad Nigel's dream by taking on the 100-mile route in #RideLondon.

Nigel died in October…",2018-07-29 13:18:07+00:00,-0.3818,0.078,0.781,0.141
150,BBC,"RT @BBCSportWales: It's a matter of hours until Geraint Thomas is crowned as the first Welshman to win the Tour de France

👉 Here's how he…",2018-07-29 13:20:07+00:00,0.5994,0.182,0.818,0.0
151,BBC,Follow live coverage as 150 of the world's best cyclists compete on 200km of closed roads in London and Surrey. 🚴🚴🚴… https://t.co/it0KrVzqqu,2018-07-29 14:01:05+00:00,0.6369,0.167,0.833,0.0
152,BBC,😂📺🇦🇱 Here’s what happened when @RomeshRanga went on Albanian TV. https://t.co/WQ8kMjSFco,2018-07-29 15:03:02+00:00,0.0,0.0,1.0,0.0
